timestamp,open,high,low,close,volume
2026-01-01T00:00:00Z,95000,95200,94850,95120,850
2026-01-01T01:00:00Z,95120,95450,95080,95380,870
2026-01-01T02:00:00Z,95380,95620,95290,95590,910
2026-01-01T03:00:00Z,95590,95840,95510,95740,920
2026-01-01T04:00:00Z,95740,96030,95690,95980,890
2026-01-01T05:00:00Z,95980,96280,95920,96140,905
2026-01-01T06:00:00Z,96140,96420,96080,96310,940
2026-01-01T07:00:00Z,96310,96550,96270,96480,955
2026-01-01T08:00:00Z,96480,96780,96420,96710,980
2026-01-01T09:00:00Z,96710,97040,96670,96950,1050
2026-01-01T10:00:00Z,96950,97320,96880,97290,1120
2026-01-01T11:00:00Z,97290,97510,97140,97440,1180
2026-01-01T12:00:00Z,97440,97890,97390,97810,1250
2026-01-01T13:00:00Z,97810,98140,97750,98090,1310
2026-01-01T14:00:00Z,98090,98480,98020,98370,1370
2026-01-01T15:00:00Z,98370,98620,98280,98510,1400
2026-01-01T16:00:00Z,98510,98870,98460,98820,1450
2026-01-01T17:00:00Z,98820,99110,98740,99020,1490
2026-01-01T18:00:00Z,99020,99380,98950,99320,1550
2026-01-01T19:00:00Z,99320,99520,99160,99210,1480
2026-01-01T20:00:00Z,99210,99450,99040,99100,1420
2026-01-01T21:00:00Z,99100,99240,98880,98940,1380
2026-01-01T22:00:00Z,98940,99120,98710,98810,1360
2026-01-01T23:00:00Z,98810,98930,98550,98620,1320
2026-01-02T00:00:00Z,98620,98720,98340,98410,1290
2026-01-02T01:00:00Z,98410,98510,98080,98140,1340
2026-01-02T02:00:00Z,98140,98220,97790,97910,1390
2026-01-02T03:00:00Z,97910,98110,97520,97610,1440
2026-01-02T04:00:00Z,97610,97810,97280,97320,1510
2026-01-02T05:00:00Z,97320,97640,97210,97580,1580
2026-01-02T06:00:00Z,97580,97920,97490,97840,1620
2026-01-02T07:00:00Z,97840,98210,97780,98150,1680
2026-01-02T08:00:00Z,98150,98520,98090,98460,1740
2026-01-02T09:00:00Z,98460,98810,98390,98780,1810
2026-01-02T10:00:00Z,98780,99130,98720,99090,1880
2026-01-02T11:00:00Z,99090,99480,99010,99420,1960
2026-01-02T12:00:00Z,99420,99810,99350,99720,2050
2026-01-02T13:00:00Z,99720,100120,99650,99980,2140
2026-01-02T14:00:00Z,99980,100420,99880,100240,2230
2026-01-02T15:00:00Z,100240,100660,100110,100520,2300
2026-01-02T16:00:00Z,100520,100940,100400,100810,2380
2026-01-02T17:00:00Z,100810,101180,100680,101020,2440
2026-01-02T18:00:00Z,101020,101260,100720,100860,2320
2026-01-02T19:00:00Z,100860,101040,100320,100540,2260
2026-01-02T20:00:00Z,100540,100720,100010,100180,2180
2026-01-02T21:00:00Z,100180,100320,99680,99820,2120
2026-01-02T22:00:00Z,99820,99980,99340,99560,2070
2026-01-02T23:00:00Z,99560,99710,99080,99220,2010
